аԥсны,75
уи,63
анқәаб,50
иара,37
—,34
ахада,26
лаҵарамза,25
ашықәс,24
ауп,24
ҳ,24
ҟ,24
рашәарамза,23
ԥхынгәымза,23
нанҳәамза,23
цәыббрамза,23
ԥхынҷкәынмза,23
убас,23
амзар,22
иит,22
рыԥсҭазаара,22
иалҵит,22
жәабранмза,21
хәажәкырамза,21
мшаԥымза,21
шықәса́,20
иулиантәи,20
ахҭысқəа,20
ажьырныҳәамза,20
жьҭаарамза,20
абҵарамза,20
шрзы,20
аха,16
а,16
ала,16
аамҭаз,15
ш,11
иареи,11
аҳәынҭқарра,11
рзы,11
с,11
ашьҭахь,10
усҟантәи,10
иҟаз,10
араион,9
аҟәа,9
қырҭтәыла,9
шзы,9
урыстәыла,9
аԥсуа,8
аҳәынҭқарратә,8
урҭ,8
икандидатура,8
ашәҟәы,7
26,7
иахҟьаны,7
аҩныҵҟатәи,7
ари,7
2014,7
шықәса,6
ахь,6
аус,6
александр,6
ихаҭыԥуаҩс,6
арӡынба,6
ирымаз,6
ажәлар,6
иҟоу,6
ақырҭуа,6
зқьы́,6
ҩажәи́,6
аҿы,5
в,5
тәи,5
аԥснытәи,5
дҟаҵан,5
далхын,5
убри,5
аиҿцәажәара,5
акәын,5
2011,5
27,5
акыр,5
мап,5
«аиҭаира»,5
ҳәа,5
апартиа,5
багаԥшь,5
еиҳарак,5
атәыла,5
амш,5
адгылара,5
бы́жьшәи,5
ақыҭа,4
шықәсазы,4
москва,4
жәлар,4
шәи́,4
гәдоуҭа,4
акәхоит,4
инаркны,4
аусқәа,4
рыла,4
ақалақь,4
аибашьра,4
рҿы,4
ауааԥсыра,4
р,4
даара,4
алхратә,4
аурыс,4
иоуит,4
урыстәылатәи,4
милаҭ,4
ԍ,4
гочуа,3
1941,3
диит,3
нас,3
дҭалоит,3
институт,3
аԥсныҟа,3
шыкәсазы,3
москваҟа,3
хәшәи́,3
ҧшьы́нҩажәи,3
хы́нҩажәи,3
1952,3
дыҟан,3
еиҳабыс,3
даныҟаз,3
диасуеит,3
ашықәсан,3
иажәақәа,3
асовет,3
рыбжьара,3
24,3
анаԥхгара,3
шамба,3
қырҭтәылеи,3
19921993,3
мшы,3
ихы,3
уа,3
аполитикатә,3
ара,3
партиа,3
рус,3
аманы,3
абызшәа,3
арҭ,3
аҩбатәи,3
зегь,3
аҟынтәи,3
аамҭала,3
29,3
рхы,3
